_key,riskNumber,downside,upside,par
1,1,-0.0001,0.0107,0.0106
2,2,-0.0009,0.0119,0.011
3,3,-0.0017,0.0131,0.0114
4,4,-0.0025,0.0143,0.0118
5,5,-0.0032,0.0154,0.0122
6,6,-0.0042,0.0168,0.0126
7,7,-0.0048,0.0178,0.013
8,8,-0.0056,0.019,0.0134
9,9,-0.0064,0.0202,0.0138
10,10,-0.0072,0.0214,0.0142
11,11,-0.008,0.0226,0.0146
12,12,-0.0089,0.0239,0.015
13,13,-0.0097,0.0245,0.0148
14,14,-0.0105,0.0263,0.0158
15,15,-0.0113,0.0275,0.0162
16,16,-0.0119,0.0285,0.0166
17,17,-0.0127,0.0297,0.017
18,18,-0.0136,0.031,0.0174
19,19,-0.0142,0.032,0.0178
20,20,-0.0152,0.0334,0.0182
21,21,-0.0178,0.0374,0.0196
22,22,-0.0205,0.0415,0.021
23,23,-0.0232,0.0456,0.0224
24,24,-0.0259,0.0495,0.0236
25,25,-0.0287,0.0537,0.025
26,26,-0.0314,0.0578,0.0264
27,27,-0.0342,0.062,0.0278
28,28,-0.0367,0.0659,0.0292
29,29,-0.0395,0.0701,0.0306
30,30,-0.0421,0.0741,0.032
31,31,-0.0449,0.0781,0.0332
32,32,-0.0476,0.0822,0.0346
33,33,-0.0504,0.0864,0.036
34,34,-0.053,0.0904,0.0374
35,35,-0.0555,0.0943,0.0388
36,36,-0.0582,0.0982,0.04
37,37,-0.061,0.1026,0.0416
38,38,-0.0636,0.1064,0.0428
39,39,-0.0664,0.1104,0.044
40,40,-0.0691,0.1145,0.0454
41,41,-0.0718,0.1182,0.0464
42,42,-0.0746,0.1222,0.0476
43,43,-0.0773,0.1261,0.0488
44,44,-0.08,0.13,0.05
45,45,-0.0826,0.1338,0.0512
46,46,-0.0851,0.1369,0.0518
47,47,-0.0881,0.1415,0.0534
48,48,-0.0906,0.145,0.0544
49,49,-0.0934,0.149,0.0556
50,50,-0.0962,0.1528,0.0566
51,51,-0.0989,0.1567,0.0578
52,52,-0.1016,0.1604,0.0588
53,53,-0.1043,0.1641,0.0598
54,54,-0.1069,0.1679,0.061
55,55,-0.1095,0.1715,0.062
56,56,-0.1123,0.1753,0.063
57,57,-0.1148,0.1788,0.064
58,58,-0.1177,0.1827,0.065
59,59,-0.1204,0.1866,0.0662
60,60,-0.1231,0.1891,0.0672
61,61,-0.126,0.1942,0.0682
62,62,-0.1286,0.1978,0.0692
63,63,-0.1314,0.2016,0.0702
64,64,-0.134,0.2052,0.0712
65,65,-0.1368,0.209,0.0722
66,66,-0.1393,0.2127,0.0734
67,67,-0.1421,0.2165,0.0744
68,68,-0.1447,0.2201,0.0754
69,69,-0.1473,0.2231,0.0758
70,70,-0.1501,0.2275,0.0774
71,71,-0.1536,0.2322,0.0786
72,72,-0.1569,0.2367,0.0798
73,73,-0.1602,0.2412,0.081
74,74,-0.1635,0.2459,0.0824
75,75,-0.1668,0.2504,0.0836
76,76,-0.1703,0.2551,0.0848
77,77,-0.1733,0.2593,0.086
78,78,-0.1767,0.2639,0.0872
79,79,-0.1802,0.2686,0.0884
80,80,-0.1836,0.2734,0.0898
81,81,-0.1867,0.2777,0.091
82,82,-0.1902,0.2824,0.0922
83,83,-0.1936,0.287,0.0934
84,84,-0.1967,0.2913,0.0946
85,85,-0.2002,0.296,0.0958
86,86,-0.2101,0.3095,0.0994
87,87,-0.2202,0.3232,0.103
88,88,-0.2303,0.3369,0.1066
89,89,-0.2402,0.3506,0.1104
90,90,-0.2503,0.3643,0.114
91,91,-0.2716,0.3932,0.1216
92,92,-0.2929,0.4221,0.1292
93,93,-0.3143,0.4515,0.1372
94,94,-0.336,0.481,0.145
95,95,-0.3573,0.5099,0.1526
96,96,-0.3786,0.5388,0.1602
97,97,-0.3993,0.5683,0.169
98,98,-0.4232,0.6028,0.1796
99,99,-0.4539,0.6443,0.1904
